DadoBranco|DadoVerde|DadoAzul|DadoVermelho|Possivel|Nomenclatura
1|an e aberta |CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Sim |Metano
1|an e aberta |C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Sim |Metanal
1|an e aberta |-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Sim |Metanol
1|an e aberta |-O- (Éter)|Não se aplica a rodada 1 |Não |Não definido
1|an e aberta |-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Sim |Ácido metanóico
1|an e aberta |N (Amina/Amida)|Não se aplica a rodada 1 |Sim |Metanamina ou Metanamida
1|an e fechada |CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Não |Não definido
1|an e fechada |C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Não |Não definido
1|an e fechada |-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Não |Não definido
1|an e fechada |-O- (Éter)|Não se aplica a rodada 1 |Não |Não definido
1|an e fechada |-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Não |Não definido
1|an e fechada |N (Amina/Amida)|Não se aplica a rodada 1 |Não |Não definido
1|en e aberta|CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Não |Não definido
1|en e aberta|C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Não |Não definido
1|en e aberta|-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Não |Não definido
1|en e aberta|-O- (Éter)|Não se aplica a rodada 1 |Não |Não definido
1|en e aberta|-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Não |Não definido
1|en e aberta|N (Amina/Amida)|Não se aplica a rodada 1 |Não |Não definido
1|en e fechada|CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Não |Não definido
1|en e fechada|C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Não |Não definido
1|en e fechada|-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Não |Não definido
1|en e fechada|-O- (Éter)|Não se aplica a rodada 1 |Não |Não definido
1|en e fechada|-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Não |Não definido
1|en e fechada|N (Amina/Amida)|Não se aplica a rodada 1 |Não |Não definido
1|in e aberta|CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Não |Não definido
1|in e aberta|C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Não |Não definido
1|in e aberta|-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Não |Não definido
1|in e aberta|-O- (Éter)|Não se aplica a rodada 1 |Não |Não definido
1|in e aberta|-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Não |Não definido
1|in e aberta|N (Amina/Amida)|Não se aplica a rodada 1 |Não |Não definido
1|in e fechada|CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Não |Não definido
1|in e fechada|C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Não |Não definido
1|in e fechada|-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Não |Não definido
1|in e fechada|-O- (Éter)|Não se aplica a rodada 1 |Não |Não definido
1|in e fechada|-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Não |Não definido
1|in e fechada|N (Amina/Amida)|Não se aplica a rodada 1 |Não |Não definido
2|an e aberta |CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Sim |Etano
2|an e aberta |C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Sim |Etanal
2|an e aberta |-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Sim |Etanol
2|an e aberta |-O- (Éter)|Não se aplica a rodada 1 |Sim |Metoxi Metano
2|an e aberta |-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Sim |Ácido Etanóico
2|an e aberta |N (Amina/Amida)|Não se aplica a rodada 1 |Sim |Etanamina ou Etanamida
2|an e fechada |CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Não |Não definido
2|an e fechada |C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Não |Não definido
2|an e fechada |-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Não |Não definido
2|an e fechada |-O- (Éter)|Não se aplica a rodada 1 |Não |Não definido
2|an e fechada |-COO- (Ácido Carboxílico/Éster)|Não se aplica a rodada 1 |Não |Não definido
2|an e fechada |N (Amina/Amida)|Não se aplica a rodada 1 |Não |Não definido
2|en e aberta|CxHy (Hidrocarboneto)|Não se aplica a rodada 1 |Sim |Eteno
2|en e aberta|C=O (Aldeído/Cetona)|Não se aplica a rodada 1 |Não |Não definido
2|en e aberta|-OH (Álcool/Enol/Fenol)|Não se aplica a rodada 1 |Sim |Etenol
